,Brand,Model,Year,Variant,Location,Version,Number of Owners,KmDriven,Price
111,Renault,Kwid,2019,RXL Manual,Mumbai,Petrol,1st Owner,27241,385299
112,Toyota,Glanza,2019,G CVT Automatic,Mumbai,Petrol,1st Owner,44175,774899
113,Toyota,Glanza,2019,V CVT Automatic,Mumbai,Petrol,1st Owner,32918,854799
114,Toyota,Glanza,2019,V CVT Automatic,Mumbai,Petrol,1st Owner,5693,944699
115,Toyota,Corolla Altis,2014,J S Manual,Mumbai,Petrol,2nd Owner,22359,698199
116,Toyota,Innova,2013,2.5 GX 8 STR BS IV Manual,Mumbai,Diesel,2nd Owner,177672,808999
117,Toyota,Innova Crysta,2018,2.4 VX 7 STR Manual,Mumbai,Diesel,1st Owner,38389,1814599
118,Toyota,Etios Liva,2016,D-4D VXD Manual,Mumbai,Diesel,1st Owner,62324,562899
119,Toyota,Innova,2012,2.5 GX 8 STR BS IV Manual,Mumbai,Diesel,1st Owner,353288,747299
120,Toyota,Glanza,2021,G MT PETROL Manual,Mumbai,Petrol,1st Owner,7752,817599
121,Toyota,Innova,2015,2.5 GX 8 STR BS IV Manual,Mumbai,Diesel,1st Owner,128527,984499
122,Toyota,Corolla Altis,2015,VL AT Automatic,Mumbai,Petrol,1st Owner,59794,958699
123,Toyota,Innova,2012,2.5 GX 8 STR BS IV Manual,Mumbai,Diesel,2nd Owner,170290,774799
124,Toyota,Corolla Altis,2016,VL AT Automatic,Mumbai,Petrol,1st Owner,90835,925699
125,Toyota,YARIS,2018,G MT Manual,Mumbai,Petrol,1st Owner,28949,747599
126,Toyota,Corolla Altis,2009,VL AT Automatic,Mumbai,Petrol,1st Owner,54351,350099
127,Toyota,Glanza,2019,V CVT Automatic,Mumbai,Petrol,1st Owner,41936,739799
128,Toyota,Glanza,2019,V CVT Automatic,Mumbai,Petrol,1st Owner,2407,840799
129,Toyota,Innova Crysta,2018,2.8 GX AT 8 STR Automatic,Mumbai,Diesel,1st Owner,37536,1660999
130,Toyota,Etios,2011,V Manual,Mumbai,Petrol,1st Owner,66674,324099
131,Toyota,Corolla Altis,2016,G Manual,Mumbai,Petrol,1st Owner,77841,870599
132,Maruti,Swift,2018,VXI Manual,Kolkata,Petrol,1st Owner,74294,537899
133,Maruti,Ertiga,2014,ZXI Manual,Kolkata,Petrol,1st Owner,12904,589099
134,Maruti,Baleno,2017,ZETA 1.2 K12 AMT Automatic,Kolkata,Petrol,1st Owner,14600,579799
135,Maruti,Ciaz,2017,DELTA 1.4 VVT Manual,Kolkata,Petrol,1st Owner,41264,559799
136,Maruti,Dzire,2019,VXI Manual,Kolkata,Petrol,2nd Owner,5788,611399
137,Maruti,Ciaz,2018,ZETA 1.4 VVT Manual,Kolkata,Petrol,1st Owner,37826,680299
138,Maruti,Dzire,2019,VXI Manual,Kolkata,Petrol,2nd Owner,1674,626999
139,Maruti,Vitara Brezza,2016,ZDI PLUS DUAL TONE Manual,Kolkata,Diesel,1st Owner,95093,669999
140,Maruti,Vitara Brezza,2016,ZDI PLUS DUAL TONE Manual,Kolkata,Diesel,1st Owner,55134,662899
141,Maruti,Swift,2018,LXI Manual,Kolkata,Petrol,1st Owner,30183,506299
142,Maruti,Swift,2018,VXI Manual,Kolkata,Petrol,1st Owner,7199,537899
143,Maruti,Swift,2018,VXI Manual,Kolkata,Petrol,1st Owner,21603,537899
144,Maruti,Dzire,2018,VXI Manual,Kolkata,Petrol,1st Owner,50254,610299
145,Maruti,Alto 800,2012,LXI Manual,Kolkata,Petrol,1st Owner,38986,206099
146,Maruti,Swift,2018,VXI Manual,Kolkata,Petrol,1st Owner,31252,537899
147,Maruti,Dzire,2018,VXI AMT Automatic,Kolkata,Petrol,1st Owner,17593,624999
148,Maruti,Swift Dzire,2012,VXI 1.2 BS IV Manual,Kolkata,Petrol,1st Owner,65238,349399
149,Maruti,Swift,2018,VXI AMT Automatic,Kolkata,Petrol,1st Owner,18958,565899
150,Maruti,Dzire,2018,ZXI Plus Manual,Kolkata,Petrol,1st Owner,55711,694399
151,Maruti,Swift,2018,VXI Manual,Kolkata,Petrol,1st Owner,79284,537899
152,Mahindra,KUV 100 NXT,2017,K8 6 STR Manual,Bengaluru,Petrol,1st Owner,16557,538899
153,Mahindra,Scorpio,2017,S6 PLUS Manual,Bengaluru,Diesel,1st Owner,53164,1120399
154,Mahindra,XUV 3OO,2020,W8 (O) DIESEL AT Automatic,Bengaluru,Diesel,1st Owner,23130,1515299
155,Mahindra,XUV500,2017,W6 4X2 Manual,Bengaluru,Diesel,2nd Owner,51223,1232799
156,Mahindra,XUV 3OO,2020,W8 (O) DIESEL AT Automatic,Bengaluru,Diesel,1st Owner,24671,1385799
157,Mahindra,XUV500,2017,W6 4X2 Manual,Bengaluru,Diesel,1st Owner,36087,1294699
158,Mahindra,XUV500,2018,W7 FWD Manual,Bengaluru,Diesel,1st Owner,45359,1325799
159,Mahindra,XUV500,2020,W9 Manual,Bengaluru,Diesel,1st Owner,10813,1810499
160,Mahindra,XUV500,2017,W6 4X2 Manual,Bengaluru,Diesel,1st Owner,35030,1251099
161,Mahindra,XUV500,2018,W7 FWD Manual,Bengaluru,Diesel,1st Owner,45803,1408799
162,Maruti,Zen Estilo,2007,LXI Manual,Mumbai,Petrol,3rd Owner,76609,120399
163,Maruti,Swift Dzire,2012,VDI BS IV Manual,Mumbai,Diesel,1st Owner,50082,464499
164,Maruti,Dzire,2017,VDI Manual,Mumbai,Diesel,1st Owner,107185,685699
165,Maruti,Vitara Brezza,2016,ZDI Manual,Mumbai,Diesel,1st Owner,67227,714099
166,Maruti,Vitara Brezza,2020,ZXI+ AT SHVS Automatic,Mumbai,Petrol,1st Owner,13934,1110299
167,Maruti,Ertiga,2012,ZDI Manual,Mumbai,Diesel,2nd Owner,63523,610799
168,Maruti,S Cross,2017,ZETA 1.3 Manual,Mumbai,Diesel,1st Owner,26334,788699
169,Maruti,New Wagon-R,2019,ZXI 1.2 Manual,Mumbai,Petrol,1st Owner,30580,563699
170,Maruti,Vitara Brezza,2016,VDI Manual,Mumbai,Diesel,1st Owner,52988,722999
171,Maruti,Ciaz,2015,VXI PLUS Manual,Mumbai,Petrol,1st Owner,51925,549799
172,Maruti,Vitara Brezza,2017,VDI OPT Manual,Mumbai,Diesel,1st Owner,46304,730599
173,Maruti,Baleno,2016,ZETA 1.2 K12 Manual,Mumbai,Petrol,1st Owner,47955,593899
174,Maruti,Baleno,2016,DELTA 1.2 K12 Manual,Mumbai,Petrol,1st Owner,51532,576699
175,Maruti,Baleno,2016,DELTA 1.2 K12 Manual,Mumbai,Petrol,1st Owner,40087,572599
176,Maruti,Baleno,2016,ZETA 1.2 K12 Manual,Mumbai,Petrol,1st Owner,24481,618399
177,Maruti,Dzire,2018,VXI Manual,Mumbai,Petrol,1st Owner,40267,685199
178,Maruti,Baleno,2016,ALPHA DDIS 190 Manual,Mumbai,Diesel,1st Owner,85248,642999
179,Maruti,Baleno,2016,ZETA 1.2 K12 CVT Automatic,Mumbai,Petrol,1st Owner,5318,741599
180,Maruti,Dzire,2018,VXI Manual,Mumbai,Petrol,1st Owner,18895,704199
181,Maruti,Dzire,2018,VXI Manual,Mumbai,Petrol,1st Owner,14904,704199
